67,67,67,64,46,60,64,67,64,64,74,53,67,78,74,89,82,71,89,67,64,64,71,67,53,42,39,28,17,6,6,17,39,53,60,53,49,53,60,64
67,67,67,67,71,74,78,67,60,60,67,53,64,64,60,85,82,60,71,49,53,57,53,49,46,42,14,18,50,64,39,3,42,64,57,49,49,57,67,74
67,67,64,64,67,71,74,64,64,71,85,78,74,49,39,82,92,74,85,60,67,49,21,21,39,57,3,50,75,82,46,0,31,46,85,57,28,3,14,25
64,60,57,57,57,64,64,49,31,14,6,17,46,53,49,71,64,53,74,57,74,57,17,14,39,49,3,43,50,43,18,14,35,42,78,14,86,182,5,62
57,53,53,49,60,74,71,24,61,154,229,197,78,17,31,25,118,150,111,64,0,31,24,31,42,31,7,25,18,3,6,21,42,53,35,57,207,109,234,64
57,53,53,53,31,60,57,10,146,55,180,184,254,53,28,186,127,202,145,1,132,21,24,53,57,14,32,36,3,14,17,21,39,64,39,68,240,155,28,103
21,36,78,104,114,78,3,21,61,186,87,120,250,104,96,247,177,10,0,66,200,50,39,67,60,42,39,21,78,207,200,57,49,53,57,17,50,143,207,247
28,118,189,225,250,211,96,7,10,21,121,172,104,14,7,111,225,9,254,197,107,0,53,53,31,17,35,0,172,120,134,189,3,49,60,49,39,3,14,10
39,121,182,218,1,247,164,53,31,71,35,3,28,74,67,14,21,3,24,21,21,60,57,14,28,50,3,14,200,148,166,225,14,78,78,60,74,74,53,60
14,25,46,61,132,161,136,53,31,74,60,53,67,71,60,39,39,67,89,57,78,78,42,18,68,100,28,25,172,41,19,114,31,82,71,53,85,92,39,3
53,49,64,60,32,57,68,18,53,74,64,60,60,60,57,57,57,60,60,53,64,67,42,3,43,71,46,78,179,211,125,3,42,17,17,3,42,64,7,107
46,49,60,64,39,24,0,28,67,64,57,42,35,42,53,64,64,57,46,39,53,60,57,39,14,0,14,78,168,150,43,46,39,18,50,71,46,21,64,182
49,53,49,49,71,82,49,49,67,46,46,46,39,42,42,53,57,57,57,57,57,60,60,57,53,53,42,25,100,75,17,67,42,7,114,146,136,89,50,104
53,74,71,64,64,82,57,57,67,49,57,74,64,53,42,49,60,67,71,74,71,60,57,53,60,67,67,21,32,10,49,64,39,3,146,193,186,96,17,42
6,53,78,82,60,60,60,57,57,53,53,39,21,10,24,49,67,57,42,71,74,71,60,49,49,57,53,57,64,60,49,42,49,57,82,175,161,57,14,53
24,60,82,85,60,60,60,57,57,53,57,10,28,36,21,21,53,67,64,49,53,60,53,49,46,49,39,39,53,57,49,46,46,49,10,68,46,21,49,60
35,53,71,74,60,60,60,57,57,53,57,10,32,43,28,14,49,67,67,49,53,64,67,71,67,67,24,3,31,49,53,53,49,46,67,31,35,57,42,31
49,57,64,64,60,60,60,57,57,53,57,28,3,10,3,35,64,64,57,53,53,60,71,71,57,46,14,39,6,39,57,60,57,53,89,60,53,53,21,21
71,78,71,60,60,60,60,57,57,53,53,53,39,28,42,71,89,85,71,64,64,64,71,67,39,6,36,39,3,35,57,60,60,60,53,53,53,49,7,107
85,82,74,64,60,60,60,57,57,53,53,57,35,3,10,3,28,28,17,14,17,35,60,74,53,21,7,3,28,53,64,60,57,57,31,53,35,10,107,229
67,64,57,49,60,60,60,60,64,60,67,6,64,121,168,172,154,143,146,125,114,68,0,49,57,39,31,46,67,74,71,57,49,46,57,67,0,118,254,102
74,74,64,57,57,64,46,21,0,3,6,43,132,254,98,137,173,180,152,102,232,143,68,35,89,71,67,78,60,49,67,60,49,71,67,49,50,218,91,77
78,74,71,60,71,57,10,64,125,129,89,46,114,16,127,155,188,216,191,120,207,104,43,42,82,57,53,74,64,60,85,74,46,64,64,42,43,197,41,247
64,64,60,64,85,57,6,89,186,193,118,10,53,204,30,5,1,30,26,207,71,3,28,60,71,46,46,64,57,46,67,64,35,42,64,53,3,107,168,125
