9,9,9,10,15,11,10,9,10,10,7,13,9,6,7,3,5,8,3,9,10,10,8,9,13,16,17,20,23,26,26,23,17,13,11,13,14,13,11,10
9,9,9,9,8,7,6,9,11,11,9,13,10,10,11,4,5,11,8,14,13,12,13,14,15,16,24,33,42,46,39,27,16,10,12,14,14,12,9,7
9,9,10,10,9,8,7,10,10,8,4,6,7,14,17,5,2,7,4,11,9,14,22,22,17,12,27,42,49,51,41,28,19,15,4,12,20,27,32,35
10,11,12,12,12,10,10,14,19,24,26,23,15,13,14,8,10,13,7,12,7,12,23,24,17,14,27,40,42,40,33,24,18,16,6,24,52,14,101,117
12,13,13,14,11,7,8,21,45,14,14,14,50,23,19,35,14,14,14,46,28,19,21,19,16,19,30,35,33,29,26,22,16,13,18,44,14,14,14,189
12,13,13,13,19,11,12,31,14,115,14,14,14,43,36,14,14,14,14,100,14,34,21,13,12,24,37,38,29,24,23,22,17,10,17,47,14,14,179,14
22,38,50,14,14,50,27,22,45,14,124,14,14,14,55,14,14,174,171,118,14,42,17,9,11,16,17,22,50,14,14,44,14,13,12,23,42,14,14,14
36,14,14,14,14,14,55,30,25,34,14,14,14,32,30,14,14,102,14,14,14,28,13,13,19,23,18,28,14,14,14,14,29,14,11,14,17,27,32,31
39,14,14,14,100,14,14,43,19,8,18,29,20,7,9,24,34,29,21,34,22,11,12,24,36,42,27,32,14,14,14,14,32,6,6,11,7,7,13,11
24,35,41,45,14,14,14,43,19,7,11,13,9,8,11,17,17,9,3,12,6,6,16,33,47,56,36,35,14,111,105,14,19,5,8,13,4,2,17,29
13,14,10,11,37,44,47,33,13,7,10,11,11,11,12,12,12,11,11,13,10,9,16,29,40,48,41,50,14,14,14,29,16,23,23,27,16,10,30,14
15,14,11,10,17,21,28,20,9,10,12,16,18,16,13,10,10,12,15,17,13,11,12,17,24,28,32,50,14,14,40,15,17,33,42,48,41,34,46,14
14,13,14,14,8,5,14,14,9,15,15,15,17,16,16,13,12,12,12,12,12,11,11,12,13,13,16,35,56,49,23,9,16,30,14,14,14,53,42,14
13,7,8,10,10,5,12,12,9,14,12,7,10,13,16,14,11,9,8,7,8,11,12,13,11,9,9,22,37,31,14,10,17,27,14,14,14,55,23,16
26,13,6,5,11,11,11,12,12,13,13,17,22,25,21,14,9,12,16,8,7,8,11,14,14,12,13,12,10,11,14,16,14,12,51,14,14,44,24,13
21,11,5,4,11,11,11,12,12,13,12,25,36,38,34,22,13,9,10,14,13,11,13,14,15,14,17,17,13,12,14,15,15,14,31,47,41,22,14,11
18,13,8,7,11,11,11,12,12,13,12,25,37,40,36,24,14,9,9,14,13,10,9,8,9,9,21,27,19,14,13,13,14,15,9,19,18,12,16,19
14,12,10,10,11,11,11,12,12,13,12,20,29,31,27,18,10,10,12,13,13,11,8,8,12,15,32,39,26,17,12,11,12,13,3,11,13,13,22,34
8,6,8,11,11,11,11,12,12,13,13,13,17,20,16,8,3,4,8,10,10,10,8,9,17,26,38,39,27,18,12,11,11,11,13,13,13,14,30,14
4,5,7,10,11,11,11,12,12,13,13,12,18,27,31,27,20,20,23,24,23,18,11,7,13,22,30,29,20,13,10,11,12,12,19,13,18,31,14,14
9,10,12,14,11,11,11,11,10,11,9,26,46,14,14,14,14,14,14,14,14,47,28,14,12,17,19,15,9,7,8,12,14,15,12,9,28,14,14,14
7,7,10,12,12,10,15,22,28,29,26,40,14,14,127,14,14,14,14,14,14,14,47,18,3,8,9,6,11,14,9,11,14,8,9,14,42,14,125,121
6,7,8,11,8,12,25,46,14,14,53,41,14,104,14,14,14,14,14,14,14,14,40,16,5,12,13,7,10,11,4,7,15,10,10,16,40,14,111,14
10,10,11,10,4,12,26,53,14,14,14,31,43,14,108,101,100,108,107,14,48,27,20,11,8,15,15,10,12,15,9,10,18,16,10,13,29,14,14,14
14,14,13,11,12,15,18,32,14,14,51,28,33,14,14,53,45,51,52,35,15,8,11,9,10,11,10,13,29,47,44,34,26,13,9,11,19,33,41,34
15,16,14,12,17,17,12,11,25,43,50,43,37,42,43,31,24,29,28,21,9,10,14,17,22,20,10,16,51,14,14,14,33,9,7,8,11,17,19,17
15,17,15,12,3,11,15,14,16,29,48,47,32,25,27,23,23,27,25,24,11,12,24,43,55,44,19,19,55,14,14,14,31,7,7,7,8,9,11,11
13,17,16,11,3,22,47,14,41,24,26,35,24,16,22,21,21,24,22,17,8,22,14,108,122,14,41,21,42,14,14,41,22,10,10,9,9,9,10,10
12,15,15,14,22,49,14,113,14,31,9,26,28,27,35,30,21,23,21,12,9,41,112,180,189,14,14,21,24,34,28,15,13,14,13,11,10,10,10,9
15,11,9,13,17,14,14,14,14,14,28,21,38,14,14,14,37,28,39,25,17,56,14,14,14,120,46,19,14,7,6,6,7,7,9,9,9,9,9,9
16,13,11,13,11,40,104,14,14,107,14,45,14,14,125,121,101,14,14,41,27,52,126,184,14,14,29,18,16,14,13,11,10,7,9,9,9,9,9,9
17,14,12,13,15,24,14,14,14,115,14,49,14,118,14,14,14,14,118,54,32,33,14,116,14,43,13,14,17,20,21,19,13,7,9,9,9,9,9,9
13,10,8,11,21,16,43,14,102,14,41,30,55,14,14,14,14,14,105,48,27,15,27,45,41,20,9,11,16,23,26,23,15,8,9,9,9,9,9,9
8,5,7,8,15,8,20,44,51,37,21,18,33,14,14,107,111,14,14,24,20,13,11,11,12,12,9,9,14,21,25,23,15,9,9,9,9,9,9,9
14,14,22,23,13,6,11,22,27,28,32,30,25,27,39,55,54,38,21,8,15,19,15,9,7,11,11,9,13,16,19,18,14,11,9,9,9,9,9,9
30,33,45,48,23,16,13,16,21,31,44,50,35,16,17,24,21,11,6,10,14,17,14,10,8,12,13,11,10,11,13,14,0,11,9,9,9,9,9,9
31,53,14,14,45,29,18,18,17,22,40,14,46,20,12,9,10,14,14,16,16,15,12,11,11,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0
29,14,14,14,42,33,32,38,33,26,36,53,41,23,16,7,6,15,16,20,18,15,12,12,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
